"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 24 18:45:59 GMT+07:00 2020","Sun May 24 18:46:00 GMT+07:00 2020","987","test","test_add_group","","","","test_group_add[None: name_e!; header-JXZS-%Z.?; footerfOl0v! C5:osqi+J(|]",""
"passed","Sun May 24 18:46:04 GMT+07:00 2020","Sun May 24 18:46:05 GMT+07:00 2020","548","test","test_add_group","","","","test_group_add[None: name0/; None; None]",""
"passed","Sun May 24 18:46:00 GMT+07:00 2020","Sun May 24 18:46:01 GMT+07:00 2020","1120","test","test_add_group","","","","test_group_add[None: name5e[A rx; headerEX ^ qrj+7VCb9 ; footert8ETuL]",""
"passed","Sun May 24 18:45:50 GMT+07:00 2020","Sun May 24 18:45:52 GMT+07:00 2020","1257","test","test_add_group","","","","test_group_add[None: ; ; ]",""
"passed","Sun May 24 18:45:56 GMT+07:00 2020","Sun May 24 18:45:57 GMT+07:00 2020","935","test","test_add_group","","","","test_group_add[None: nameI.b; ; footerC@PcwsVnZ]",""
"passed","Sun May 24 18:45:57 GMT+07:00 2020","Sun May 24 18:45:58 GMT+07:00 2020","1003","test","test_add_group","","","","test_group_add[None: nameI.b; header% ""F2-1j7]; ]",""
"passed","Sun May 24 18:46:02 GMT+07:00 2020","Sun May 24 18:46:03 GMT+07:00 2020","991","test","test_add_group","","","","test_group_add[None: name%E,|.IwI; headerY-9{ Cx.; footerl[)W{]",""
"passed","Sun May 24 18:46:05 GMT+07:00 2020","Sun May 24 18:46:06 GMT+07:00 2020","581","test","test_add_group","","","","test_group_add[None: None; None; footer N8]",""
"passed","Sun May 24 18:46:03 GMT+07:00 2020","Sun May 24 18:46:04 GMT+07:00 2020","1045","test","test_add_group","","","","test_group_add[None: name; header,eFJ Zv; footern[LsDDt5c|+^]",""
"passed","Sun May 24 18:45:58 GMT+07:00 2020","Sun May 24 18:45:59 GMT+07:00 2020","957","test","test_add_group","","","","test_group_add[None: nameI.b; header% ""F2-1j7]; footer.2O""@BIu4]",""
"passed","Sun May 24 18:45:54 GMT+07:00 2020","Sun May 24 18:45:55 GMT+07:00 2020","955","test","test_add_group","","","","test_group_add[None: ; headerD |TVm60I1$w; footerDC/@B0]",""
"passed","Sun May 24 18:46:01 GMT+07:00 2020","Sun May 24 18:46:02 GMT+07:00 2020","998","test","test_add_group","","","","test_group_add[None: name&|_Oqs; headerF T; footerV K1D c .^e ?,]",""
"passed","Sun May 24 18:46:05 GMT+07:00 2020","Sun May 24 18:46:05 GMT+07:00 2020","575","test","test_add_group","","","","test_group_add[None: None; header6pB,; None]",""
"passed","Sun May 24 18:45:53 GMT+07:00 2020","Sun May 24 18:45:54 GMT+07:00 2020","1072","test","test_add_group","","","","test_group_add[None: ; headerD |TVm60I1$w; ]",""
"passed","Sun May 24 18:45:52 GMT+07:00 2020","Sun May 24 18:45:53 GMT+07:00 2020","1063","test","test_add_group","","","","test_group_add[None: ; ; footer^]&VLqp/V)!~ jZiE]",""
"passed","Sun May 24 18:45:55 GMT+07:00 2020","Sun May 24 18:45:56 GMT+07:00 2020","1001","test","test_add_group","","","","test_group_add[None: nameI.b; ; ]",""
